ID,Item Number,Item Name,UNIT,CATEGORY,REORDERQTY,Average Unit Cost,Regular Price,WHOLESALE,TAXRATE,TAX GROUP,LOCATION,qty,Item Type,Item Description,shelf,supplier
4184,9212,WINTOUCH K81  PINK TABLET,PC,ELECTRONICS,0,0,9000,0,16,B,Main Shop,100,inventory,,,
4185,9238,Dell xps 13 9350 i7-6/16/256  T,PC,ELECTRONICS,0,36860,45000,0,16,B,Main Shop,100,inventory,,,
4186,9074,MACBOOK AIR A1466 CI7 LAPTOP,PC,ELECTRONICS,0,21000,75000,0,16,B,Main Shop,100,inventory,CORE I7 / 8GB RAM / 256 SSD,,
4187,9109,targus side bag,PC,ELECTRONICS,0,1287,2500,0,16,B,Main Shop,100,inventory,,,
4188,9136,HP FOLIO G1 SCREEN,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,HP FOLIO G1 SCREEN,,
4189,9150,HP SPECTRE 13-AW OLED SCREEN,PC,ELECTRONICS,0,17175.5,27000,0,16,B,Main Shop,100,inventory,"OLED SCREEN
03HD-L133FH43",,
4190,9166,ASUS UX310 BATTERY,PC,ELECTRONICS,0,4000,0,0,16,B,Main Shop,100,inventory,ASUS UX310 BATTERY,,
4191,9202,WINTOUCH M719 lcd,PC,ELECTRONICS,0,1721.57778,2500,0,16,B,Main Shop,100,inventory,,,
4192,9213,WINTOUCH K81 GREEN TABLET,PC,ELECTRONICS,0,0,9000,0,16,B,Main Shop,100,inventory,,,
4193,9239,Dell xps 13 9360 i7-7/8/256 T/S,PC,ELECTRONICS,0,35233,45000,0,16,B,Main Shop,100,inventory,,,
4194,9075,HP ELITE DISPLAY M24F Monitor,PC,ELECTRONICS,0,23570.95192,25000,0,16,B,Main Shop,100,inventory,HP ELITE DISPLAY M24F Monitor,,
4195,9110,dell side bag,PC,ELECTRONICS,0,1287,2500,0,16,B,Main Shop,100,inventory,,,
4196,9137,LEN 510 CHARGING PORT,PC,ELECTRONICS,0,500,0,0,16,B,Main Shop,100,inventory,LENOVO IDEAPAD 51O CHARGING PORT,,
4197,9151,LENOVO X1 YOGA 2ND GEN 2017 SCR,PC,ELECTRONICS,0,18128,25000,0,16,B,Main Shop,100,inventory,"X1 YOGA 2ND GEN 2017 , 01AX897, 01AX898",,
4198,9167,GAMEPAD 7 IN 1,PC,ELECTRONICS,0,1000,0,0,16,B,Main Shop,100,inventory,GAMEPAD 7 IN 1,,
4199,9203,X407UA-1B KEYBOARD MODULE,PC,ELECTRONICS,0,3075.94,0,0,16,B,Main Shop,100,inventory,X407UA-1B KEYBOARD MODULE,,
4200,9214,WINTOUCH K81 ORANGE TABLET,PC,ELECTRONICS,0,0,9000,0,16,B,Main Shop,100,inventory,,,
4201,9240,Dell xps 13 9360 i7-6/16/256 T/,PC,ELECTRONICS,0,36156,45000,0,16,B,Main Shop,100,inventory,,,
4202,9076,HP ELITE DISPLAY M27FW,PC,ELECTRONICS,0,24018.55332,35000,0,16,B,Main Shop,100,inventory,27 INCHES SLIM LED,,
4203,9111,8GB 2400T SERVER MEMORY,PC,ELECTRONICS,0,10000,0,0,16,B,Main Shop,100,inventory,8GB 2400T SERVER MEMORY,,
4204,9152,YOGA 520 I4 CD CASE,PC,ELECTRONICS,0,7500,0,0,16,B,Main Shop,100,inventory,YOGA 520 I4 CD CASE,,
4205,9168,DIGITAL VOICE RECORDER 8G,PC,ELECTRONICS,0,2500,0,0,16,B,Main Shop,100,inventory,DIGITAL VOICE RECORDER 8G,,
4206,9204,REDMI NOTE 11 PHONE,PC,ELECTRONICS,0,23700,0,0,16,B,Main Shop,100,inventory,REDMI NOTE 11 128GB 6GB,,
4207,9215,wintouch K701 green tablet,PC,ELECTRONICS,0,4838,6500,0,16,B,Main Shop,100,inventory,,,
4208,9241,Dell E7280 i5-6/8/256 T/Screen,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,Dell E7280 i5-6/8/256 T/Screen,,
4209,9259,LENOVO L17M6P72 BATTERY,PC,ELECTRONICS,0,1900,3500,0,16,B,Main Shop,100,inventory,LENOVO L17M6P72 BATTERY,,
4210,8275,samsung np270e5e CD+keybd casin,PC,ELECTRONICS,0,3558.5,6000,0,16,B,Main Shop,100,inventory,,,
4211,8345,2TB USB3.0 External HDD NETAC,PC,ELECTRONICS,0,6334.38,9000,0,16,B,Main Shop,100,inventory,,,
4212,8391,hp probook 440 g4 fan,PC,ELECTRONICS,0,465,1000,0,16,B,Main Shop,100,inventory,905706-001,,
4213,8412,HP CATRIDGE 973XL,PC,ELECTRONICS,0,15080,0,0,16,B,Main Shop,100,inventory,HP CATRIDGE 973XL,,
4214,8430,SQL Server 2019,PC,ELECTRONICS,0,60000,0,0,16,B,Main Shop,100,inventory,SQL Server 228 - 11135 SQLSvrStd 2019 SNGL OLP NL,,
4215,8436,asus ux305 keyboard,PC,ELECTRONICS,0,1918.5,3500,0,16,B,Main Shop,100,inventory,,,
4216,8452,DELL 19.5V 2.31 4.5X3.0 ORG,PC,ELECTRONICS,0,1260.71317,2500,0,16,B,Main Shop,100,inventory,4.5X3.0,,
4217,9112,VENTION 10-IN 1,PC,ELECTRONICS,0,7500,0,0,16,B,Main Shop,100,inventory,VENTION 10-IN-1 USB-C DOCKING STATION,,
4218,9153,LEN YOGA 510-14 CD CASE,PC,ELECTRONICS,0,4000,0,0,16,B,Main Shop,100,inventory,LENOVO  YOGA 510-14 CD CASE,,
4219,9169,CHARGING MOUSE,PC,ELECTRONICS,0,472.22222,0,0,16,B,Main Shop,100,inventory,CHARGING MOUSE,,
4220,9205,AB CASE HP 15 DW,PC,ELECTRONICS,0,6000,6500,0,16,B,Main Shop,100,inventory,AB CASING HP 15 DW,,
4221,9216,wintouch K701 pink tablet,PC,ELECTRONICS,0,4166,6500,0,16,B,Main Shop,100,inventory,,,
4222,9242,dell 7280 i5-6/8/256 T/Screen,PC,ELECTRONICS,0,16491.77357,25000,0,16,B,Main Shop,100,inventory,CORE I5 6TH GEN / 8GB RAM / 256 SSD TOUCH SCREEN,,
4223,9260,MICROSOFT 365 FAMILY 6 USERS,PC,ELECTRONICS,0,10976.96,15000,0,16,B,Main Shop,100,inventory,"MICROSOFT 365 FAMILY ENGLISH SUBSCR 1YR ONLY MEDIALESS P6 (6 USERS 6 DEVICES EACH)
6gq-01560",,
4224,9262,13 PROMAX SILICONE,PC,ELECTRONICS,0,400,0,0,16,B,Main Shop,100,inventory,13 PROMAX SILICONE,,
4225,9113,hp 1030 g2 us keyboard non,PC,ELECTRONICS,0,1560,3000,0,16,B,Main Shop,100,inventory,,,
4226,9154,USB TO HDMI/VGA/DVI/RJ45,PC,ELECTRONICS,0,2500,0,0,16,B,Main Shop,100,inventory,USB TO HDMI/VGA/DVI/RJ45,,
4227,9170,BLUETOOTH/WIRELESS MOUSE,PC,ELECTRONICS,0,1500,0,0,16,B,Main Shop,100,inventory,BLUETOOTH/WIRELESS MOUSE,,
4228,9206,LCD CABLE HP 15S DY 40 PIN,PC,ELECTRONICS,0,1000,0,0,16,B,Main Shop,100,inventory,LCD CABLE HP 15S DY 40 PIN,,
