ID,company,company_phone,address,postal_address,city,country,company_email,bank_name,bank_branch,account_name,account_no,acc_code,contact_person,contact_email,contact_phone,pin,credit_limit,vat_deduction,deduct_wht
2,ABSOLUTE SECURITY LTD,,,,,,,,,,,,,,,,,,omit
2,citadel,,,,,,,,,,,,,,,,,,omit
2,SONIA,,,,,,,,,,,,,,,,,,omit
2,Ruiru Sports Club,,,,,,,,,,,,,,,,,,omit
2,Edrich Converters (EA) Ltd,,,,,,,,,,,,,,,,,,omit
2,Kibra General Supplies,,,,,,,,,,,,,,,,,,omit
2,MUI & Associates,,,,,,,,,,,,,,,,,,omit
2,RENTOKIL INTIALS K.LTD,,,,,,,,,,,,,,,,,,omit
2,INFOCARE TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,Smart solution,,,,,,,,,,,,,,,,,,omit
2,Saif solutions ltd,,,,,,,,,,,,,,,,,,omit
2,Stomm Tech Solutions,,,,,,,,,,,,,,,,,,omit
2,Smart edge east africa,,,,,,,,,,,,,,,,,,omit
2,Surya supplies,,,,,,,,,,,,,,,,,,omit
2,Grace citystalls,,,,,,,,,,,,,,,,,,omit
2,Kendi,,,,,,,,,,,,,,,,,,omit
2,ELIASS,,,,,,,,,,,,,,,,,,omit
2,Leetech computer,,,,,,,,,,,,,,,,,,omit
2,ISAYA,,,,,,,,,,,,,,,,,,omit
2,JAKEMY,,,,,,,,,,,,,,,,,,omit
2,Wytech Technologies,,,,,,,,,,,,,,,,,,omit
2,Evercomps Technologies,,,,,,,,,,,,,,,,,,omit
2,Computer planet,,,,,,,,,,,,,,,,,,omit
2,Bestsella computers,,,,,,,,,,,,,,,,,,omit
2,Kizito,,,,,,,,,,,,,,,,,,omit
2,Sagana Electronics,,,,,,,,,,,,,,,,,,omit
2,Cannon computers,,,,,,,,,,,,,,,,,,omit
2,Demo company,,,,,,,,,,,,,,,,,,omit
2,ASTON,,,,,,,,,,,,,,,,,,omit
2,LIZ Gate com ltd,,,,,,,,,,,,,,,,,,omit
2,Toner masters,,,,,,,,,,,,,,,,,,omit
2,Francrom general merchants,,,,,,,,,,,,,,,,,,omit
2,THEURI,,,,,,,,,,,,,,,,,,omit
2,WAHINYA,,,,,,,,,,,,,,,,,,omit
2,Vgnet world computers,,,,,,,,,,,,,,,,,,omit
2,GO AFRICA,,,,,,,,,,,,,,,,,,omit
2,Amon computers,,,,,,,,,,,,,,,,,,omit
2,LUTHULI,,,,,,,,,,,,,,,,,,omit
2,Mike accra,,,,,,,,,,,,,,,,,,omit
2,Shopit limited,,,,,,,,,,,,,,,,,,omit
2,simo jesse,,,,,,,,,,,,,,,,,,omit
2,MAR TONVE,,,,,,,,,,,,,,,,,,omit
2,DELTA / GULED,,,,,,,,,,,,,,,,,,omit
2,TT GONG,,,,,,,,,,,,,,,,,,omit
2,Postal Corporation,,,,,,,,,,,,,,,,,,omit
2,Jumtel communications,,,,,,,,,,,,,,,,,,omit
2,WALK IN VENDOR,,,,,,,,,,,,,,,,,,omit
2,NITI DISTRIBUTORS LTD,,,,,,,,,,,,,,,,,,omit
2,DIGITAL PRECISIONS,,,,,,,,,,,,,,,,,,omit
2,ADVACOM BUSINESS,,,,,,,,,,,,,,,,,,omit
2,NOR SALAMA,,,,,,,,,,,,,,,,,,omit
2,DARWITECH SUPPLIES,,,,,,,,,,,,,,,,,,omit
2,KANYI,,,,,,,,,,,,,,,,,,omit
2,DAANAT,,,,,,,,,,,,,,,,,,omit
2,CATHY ADAPTERS,,,,,,,,,,,,,,,,,,omit
2,CHRIS WATS SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,NETWAYS COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,ARVIND VENDOR,,,,,,,,,,,,,,,,,,omit
2,MOSES B2IT,,,,,,,,,,,,,,,,,,omit
2,TAMBOUR TECH LTD,,,,,,,,,,,,,,,,,,omit
2,DN SOLUTIONS LTD,,,,,,,,,,,,,,,,,,omit
2,LUCY FRIEND,,,,,,,,,,,,,,,,,,omit
2,REDINGTON KENYA LTD,,,,,,,,,,,,,,,,,,omit
2,Solagen power ltd,,,,,,,,,,,,,,,,,,omit
2,Westcomhub ltd,,,,,,,,,,,,,,,,,,omit
2,SAM OLD NATION,,,,,,,,,,,,,,,,,,omit
2,Mfi Solutions,,,,,,,,,,,,,,,,,,omit
2,KIMSES,,,,,,,,,,,,,,,,,,omit
2,Wachira rono,,,,,,,,,,,,,,,,,,omit
2,HILLARY,,,,,,,,,,,,,,,,,,omit
2,Deserve power solution,,,,,,,,,,,,,,,,,,omit
2,By gracie it solutions,,,,,,,,,,,,,,,,,,omit
2,Tech edge communication,,,,,,,,,,,,,,,,,,omit
2,Compland,,,,,,,,,,,,,,,,,,omit
2,METROPOL CREDIT REFERENCE,,,,,,,,,,,,,,,,,,omit
2,Gigatech tec,,,,,,,,,,,,,,,,,,omit
2,Harlem Technologies,,,,,,,,,,,,,,,,,,omit
2,IT FOR AFRICA,,,,,,,,,,,,,,,,,,omit
2,Eclipse smart,,,,,,,,,,,,,,,,,,omit
2,LITECOM LTD,,,,,,,,,,,,,,,,,,omit
2,COMZTEC,,,,,,,,,,,,,,,,,,omit
2,ACACIA DIGITAL,,,,,,,,,,,,,,,,,,omit
2,Mata,,,,,,,,,,,,,,,,,,omit
2,Skycargo Ltd,,,,,,,,,,,,,,,,,,omit
2,Essence digital,,,,,,,,,,,,,,,,,,omit
2,ASUS VENDOR,,,,,,,,,,,,,,,,,,omit
2,dechtech cisco,,,,,,,,,,,,,,,,,,omit
2,Marksonic computers ltd,,,,,,,,,,,,,,,,,,omit
2,Newtech phones,,,,,,,,,,,,,,,,,,omit
2,NHIF,,,,,,,,,,,,,,,,,,omit
2,WILSON MEDIA,,,,,,,,,,,,,,,,,,omit
2,Accescom it solution,,,,,,,,,,,,,,,,,,omit
2,oxford electronics ltd,,,,,,,,,,,,,,,,,,omit
2,XREEM IT SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,LISHERT COMPUTER SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,Isaiah Ngotho,,,,,,,,,,,,,,,,,,omit
2,GERALD,,,,,,,,,,,,,,,,,,omit
2,MOMBASA COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,NANCY,,,,,,,,,,,,,,,,,,omit
2,SERENE COMPUTER,,,,,,,,,,,,,,,,,,omit
2,MACFIX TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,CECILIA NETWORKING,,,,,,,,,,,,,,,,,,omit
2,SMART COMPLETE TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,Vinny specicom,,,,,,,,,,,,,,,,,,omit
2,oraimo accessories,,,,,,,,,,,,,,,,,,omit
2,CRESCENT DISTRIBUTION SERVICES LTD,,,,,,,,,,,,,,,,,,omit
2,APPLE CENTRE,,,,,,,,,,,,,,,,,,omit
2,LEWY TRONICS,,,,,,,,,,,,,,,,,,omit
2,HIRSHAB ELECRONICS,,,,,,,,,,,,,,,,,,omit
2,IMAX TECHNOLOGIES LTD,,,,,,,,,,,,,,,,,,omit
2,microsys solution,,,,,,,,,,,,,,,,,,omit
2,Joetech,,,,,,,,,,,,,,,,,,omit
2,judicom,,,,,,,,,,,,,,,,,,omit
2,MTP,,,,,,,,,,,,,,,,,,omit
2,MAXSON COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,INFOMILANG JACOB ACCRA,,,,,,,,,,,,,,,,,,omit
2,INTERPLUS LIMITED,,,,,,,,,,,,,,,,,,omit
2,BRIMAT VENTURES LTD,,,,,,,,,,,,,,,,,,omit
2,NETAC TECHNOLOGY CO LTD,,,,,,,,,,,,,,,,,,omit
2,CEVITAS SUPPLIES,,,,,,,,,,,,,,,,,,omit
2,MARY ACCRA PLAZA,,,,,,,,,,,,,,,,,,omit
2,INCEPTIAL SYSTEMS,,,,,,,,,,,,,,,,,,omit
2,CHIEF,,,,,,,,,,,,,,,,,,omit
2,TECHCITY DISTRIBUTORS LIMITED,,,,,,,,,,,,,,,,,,omit
2,COMPUTER HUB ARENA,,,,,,,,,,,,,,,,,,omit
2,DANGOTE COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,KHALIF ENTERPRISES,,,,,,,,,,,,,,,,,,omit
2,BEST GRAB VENDOR,,,,,,,,,,,,,,,,,,omit
2,CHANGSHA CITEE INDUSTRIAL CO LTD,,,,,,,,,,,,,,,,,,omit
2,TELESOFT ONLINE MERCHANTS,,,,,,,,,,,,,,,,,,omit
2,ELLEN POWER SYSTEMS LTD,,,,,,,,,,,,,,,,,,omit
2,CITEE INDUSTRIAL CO. LTD,,,,,,,,,,,,,,,,,,omit
2,CAMERA KENYA,,,,,,,,,,,,,,,,,,omit
2,ELLEN POWER STSTEMS LTD,,,,,,,,,,,,,,,,,,omit
2,FAJOBA,,,,,,,,,,,,,,,,,,omit
2,DAMA MOBILE SPARES,,,,,,,,,,,,,,,,,,omit
2,PS4 VENDOR,,,,,,,,,,,,,,,,,,omit
2,CORA,,,,,,,,,,,,,,,,,,omit
2,Redington Gulf FZE ( Dubai).,,,,,,,,,,,,,,,,,,omit
2,TIMES TECH ACCESSORIES,,,,,,,,,,,,,,,,,,omit
2,PLEXTECH LIMITED,,,,,,,,,,,,,,,,,,omit
2,ELITEX,,,,,,,,,,,,,,,,,,omit
2,KENYA GADGETS STORE,,,,,,,,,,,,,,,,,,omit
2,RED DOT USD,,,,,,,,,,,,,,,,,,omit
2,REDINGTON KENYA USD,,,,,,,,,,,,,,,,,,omit
2,TECH FIRST GROUP KENYA LIMITED-USD,,,,,,,,,,,,,,,,,,omit
2,ALIMAAN TECHNOLOGY,,,,,,,,,,,,,,,,,,omit
2,FASTGATE CARGO SERVICES LTD,,,,,,,,,,,,,,,,,,omit
2,EVERLASTING TECH GROUP LIMITED,,,,,,,,,,,,,,,,,,omit
2,EMPIRE STORES,,,,,,,,,,,,,,,,,,omit
2,PRAISTIAN SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,BROADSTAR,,,,,,,,,,,,,,,,,,omit
2,MUSTEK,,,,,,,,,,,,,,,,,,omit
2,ELECTROSPOT COMPUTER SOLUTIONS KE,,,,,,,,,,,,,,,,,,omit
2,Mutuku,,,,,,,,,,,,,,,,,,omit
2,LITE TECHNOLOGY,,,,,,,,,,,,,,,,,,omit
2,PHIL TECH COPIERS OFFICE SOLUTION,,,,,,,,,,,,,,,,,,omit
2,TECH-SHIRE TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
